waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-05-15T00:00,Node_Warkop_Kusuma,25.1,30.4,97,Clouds,Sebagian Berawan,8.3,0.0,34
2026-05-15T01:00,Node_Warkop_Kusuma,25.0,29.9,95,Clear,Cerah,8.4,0.0,16
2026-05-15T02:00,Node_Warkop_Kusuma,24.5,29.4,96,Clear,Cerah,7.6,0.0,16
2026-05-15T03:00,Node_Warkop_Kusuma,24.3,29.1,96,Clouds,Sebagian Berawan,7.3,0.0,21
2026-05-15T04:00,Node_Warkop_Kusuma,24.0,29.0,97,Clouds,Sebagian Berawan,6.2,0.0,35
2026-05-15T05:00,Node_Warkop_Kusuma,23.9,28.5,97,Clouds,Sebagian Berawan,7.8,0.0,38
2026-05-15T06:00,Node_Warkop_Kusuma,24.1,28.4,95,Clouds,Sebagian Berawan,9.1,0.0,41
2026-05-15T07:00,Node_Warkop_Kusuma,26.1,30.7,86,Clear,Cerah,9.0,0.0,2
2026-05-15T08:00,Node_Warkop_Kusuma,27.6,32.3,80,Clear,Cerah,9.3,0.0,1
2026-05-15T09:00,Node_Warkop_Kusuma,29.2,33.7,72,Clear,Cerah,10.4,0.0,0
2026-05-15T10:00,Node_Warkop_Kusuma,30.4,35.6,68,Clouds,Sebagian Berawan,10.0,0.0,29
2026-05-15T11:00,Node_Warkop_Kusuma,31.4,37.5,62,Drizzle,Gerimis Ringan,7.0,0.1,52
2026-05-15T12:00,Node_Warkop_Kusuma,31.6,38.2,62,Drizzle,Gerimis Ringan,6.8,0.2,45
2026-05-15T13:00,Node_Warkop_Kusuma,31.0,35.8,62,Drizzle,Gerimis Sedang,10.9,0.6,61
2026-05-15T14:00,Node_Warkop_Kusuma,30.9,36.3,69,Drizzle,Gerimis Sedang,10.7,0.5,48
2026-05-15T15:00,Node_Warkop_Kusuma,31.4,36.3,64,Clouds,Sebagian Berawan,6.8,0.0,44
2026-05-15T16:00,Node_Warkop_Kusuma,30.1,35.1,69,Drizzle,Gerimis Ringan,6.6,0.2,52
2026-05-15T17:00,Node_Warkop_Kusuma,28.2,34.1,81,Drizzle,Gerimis Ringan,4.6,0.1,34
2026-05-15T18:00,Node_Warkop_Kusuma,26.0,31.8,94,Rain,Hujan Ringan,6.6,2.0,44
2026-05-15T19:00,Node_Warkop_Kusuma,27.3,32.5,86,Drizzle,Gerimis Ringan,9.0,0.2,35
2026-05-15T20:00,Node_Warkop_Kusuma,25.1,30.2,92,Rain,Hujan Ringan,6.4,1.3,83
2026-05-15T21:00,Node_Warkop_Kusuma,24.8,29.8,94,Drizzle,Gerimis Ringan,5.4,0.3,38
2026-05-15T22:00,Node_Warkop_Kusuma,24.5,30.3,97,Clouds,Berawan,1.8,0.0,77
2026-05-15T23:00,Node_Warkop_Kusuma,24.1,29.5,99,Clouds,Mendung,5.0,0.0,95
