waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-08T00:00,Node_Warkop_Kusuma,23.5,27.6,92,Clouds,Mendung,6.5,0.0,100
2026-04-08T01:00,Node_Warkop_Kusuma,23.2,27.2,94,Clouds,Mendung,7.0,0.0,100
2026-04-08T02:00,Node_Warkop_Kusuma,23.0,26.9,95,Drizzle,Gerimis Ringan,7.0,0.4,96
2026-04-08T03:00,Node_Warkop_Kusuma,23.0,27.0,96,Rain,Hujan Ringan,7.1,1.7,99
2026-04-08T04:00,Node_Warkop_Kusuma,22.7,27.3,98,Drizzle,Gerimis Sedang,3.2,0.6,99
2026-04-08T05:00,Node_Warkop_Kusuma,22.5,27.1,100,Drizzle,Gerimis Ringan,4.4,0.1,89
2026-04-08T06:00,Node_Warkop_Kusuma,22.6,27.0,98,Clouds,Mendung,4.5,0.0,96
2026-04-08T07:00,Node_Warkop_Kusuma,24.4,29.5,93,Clouds,Mendung,3.0,0.0,90
2026-04-08T08:00,Node_Warkop_Kusuma,26.1,31.6,84,Clouds,Mendung,1.3,0.0,98
2026-04-08T09:00,Node_Warkop_Kusuma,27.9,33.6,78,Clouds,Mendung,1.8,0.0,99
2026-04-08T10:00,Node_Warkop_Kusuma,29.3,35.2,72,Drizzle,Gerimis Ringan,8.3,0.1,99
2026-04-08T11:00,Node_Warkop_Kusuma,30.4,36.7,69,Clouds,Mendung,11.3,0.0,98
2026-04-08T12:00,Node_Warkop_Kusuma,30.9,37.0,66,Drizzle,Gerimis Ringan,14.4,0.4,93
2026-04-08T13:00,Node_Warkop_Kusuma,30.3,36.3,67,Rain,Hujan Sedang,12.1,6.7,52
2026-04-08T14:00,Node_Warkop_Kusuma,30.0,36.1,72,Rain,Hujan Sedang,10.1,4.5,80
2026-04-08T15:00,Node_Warkop_Kusuma,26.8,31.2,84,Rain,Hujan Sedang,11.1,2.8,100
2026-04-08T16:00,Node_Warkop_Kusuma,25.8,30.2,87,Drizzle,Gerimis Ringan,9.0,0.1,100
2026-04-08T17:00,Node_Warkop_Kusuma,25.9,30.9,86,Drizzle,Gerimis Ringan,5.1,0.1,100
2026-04-08T18:00,Node_Warkop_Kusuma,25.1,30.8,93,Clouds,Mendung,2.5,0.0,100
2026-04-08T19:00,Node_Warkop_Kusuma,25.4,31.0,93,Clouds,Mendung,4.2,0.0,100
2026-04-08T20:00,Node_Warkop_Kusuma,23.9,28.2,99,Rain,Hujan Ringan,11.1,1.4,100
2026-04-08T21:00,Node_Warkop_Kusuma,23.7,27.6,96,Drizzle,Gerimis Sedang,11.3,0.6,100
2026-04-08T22:00,Node_Warkop_Kusuma,23.5,27.4,93,Drizzle,Gerimis Lebat,8.7,1.2,100
2026-04-08T23:00,Node_Warkop_Kusuma,23.2,27.3,94,Drizzle,Gerimis Ringan,7.1,0.4,100
