waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-05T00:00,Node_Warkop_Kusuma,23.5,28.9,100,Clouds,Mendung,2.3,0.0,100
2026-04-05T01:00,Node_Warkop_Kusuma,23.6,28.7,100,Clouds,Mendung,5.9,0.0,100
2026-04-05T02:00,Node_Warkop_Kusuma,23.4,28.5,100,Clouds,Mendung,4.3,0.0,95
2026-04-05T03:00,Node_Warkop_Kusuma,23.2,28.3,100,Clouds,Mendung,4.0,0.0,100
2026-04-05T04:00,Node_Warkop_Kusuma,23.0,27.9,100,Clouds,Mendung,4.8,0.0,100
2026-04-05T05:00,Node_Warkop_Kusuma,22.8,27.4,100,Clouds,Mendung,5.7,0.0,100
2026-04-05T06:00,Node_Warkop_Kusuma,22.9,27.4,100,Clouds,Mendung,6.5,0.0,100
2026-04-05T07:00,Node_Warkop_Kusuma,24.5,29.6,94,Clear,Cerah,4.7,0.0,1
2026-04-05T08:00,Node_Warkop_Kusuma,26.8,32.3,84,Clouds,Sebagian Berawan,3.0,0.0,29
2026-04-05T09:00,Node_Warkop_Kusuma,28.5,33.9,73,Clear,Cerah,2.7,0.0,13
2026-04-05T10:00,Node_Warkop_Kusuma,29.7,36.5,68,Drizzle,Gerimis Ringan,1.6,0.1,16
2026-04-05T11:00,Node_Warkop_Kusuma,30.8,38.6,64,Clear,Cerah,1.5,0.0,17
2026-04-05T12:00,Node_Warkop_Kusuma,30.9,38.6,64,Clouds,Berawan,4.7,0.0,68
2026-04-05T13:00,Node_Warkop_Kusuma,29.1,35.3,72,Rain,Hujan Sedang,8.7,3.5,98
2026-04-05T14:00,Node_Warkop_Kusuma,29.0,34.1,72,Drizzle,Gerimis Ringan,6.6,0.1,88
2026-04-05T15:00,Node_Warkop_Kusuma,29.0,34.2,73,Drizzle,Gerimis Ringan,7.2,0.1,48
2026-04-05T16:00,Node_Warkop_Kusuma,28.5,32.7,73,Drizzle,Gerimis Ringan,9.7,0.1,47
2026-04-05T17:00,Node_Warkop_Kusuma,28.0,32.9,75,Clouds,Sebagian Berawan,4.6,0.0,27
2026-04-05T18:00,Node_Warkop_Kusuma,25.8,30.5,87,Clouds,Sebagian Berawan,7.0,0.0,48
2026-04-05T19:00,Node_Warkop_Kusuma,26.2,31.6,88,Clouds,Berawan,5.1,0.0,76
2026-04-05T20:00,Node_Warkop_Kusuma,25.4,31.2,93,Clouds,Mendung,2.7,0.0,98
2026-04-05T21:00,Node_Warkop_Kusuma,25.0,30.8,96,Clouds,Mendung,2.4,0.0,97
2026-04-05T22:00,Node_Warkop_Kusuma,24.8,30.4,96,Clouds,Mendung,3.8,0.0,93
2026-04-05T23:00,Node_Warkop_Kusuma,24.5,30.0,96,Clouds,Mendung,3.6,0.0,100
