waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-05-03T00:00,Node_Warkop_Kusuma,23.8,28.6,95,Clouds,Berawan,4.5,0.0,65
2026-05-03T01:00,Node_Warkop_Kusuma,24.0,28.6,92,Clouds,Sebagian Berawan,4.3,0.0,31
2026-05-03T02:00,Node_Warkop_Kusuma,24.2,28.6,90,Clouds,Sebagian Berawan,5.8,0.0,29
2026-05-03T03:00,Node_Warkop_Kusuma,24.0,28.2,91,Clouds,Sebagian Berawan,7.1,0.0,24
2026-05-03T04:00,Node_Warkop_Kusuma,23.9,28.1,92,Clouds,Sebagian Berawan,6.8,0.0,24
2026-05-03T05:00,Node_Warkop_Kusuma,23.7,27.9,93,Clouds,Sebagian Berawan,6.8,0.0,45
2026-05-03T06:00,Node_Warkop_Kusuma,23.6,27.9,94,Clouds,Berawan,6.8,0.0,72
2026-05-03T07:00,Node_Warkop_Kusuma,25.6,30.2,87,Clouds,Mendung,7.6,0.0,97
2026-05-03T08:00,Node_Warkop_Kusuma,27.2,32.2,81,Clouds,Mendung,6.3,0.0,97
2026-05-03T09:00,Node_Warkop_Kusuma,28.9,34.2,74,Clouds,Mendung,3.8,0.0,99
2026-05-03T10:00,Node_Warkop_Kusuma,29.9,35.9,68,Drizzle,Gerimis Ringan,4.7,0.2,91
2026-05-03T11:00,Node_Warkop_Kusuma,30.5,37.5,69,Clouds,Berawan,5.6,0.0,70
2026-05-03T12:00,Node_Warkop_Kusuma,30.8,37.7,67,Clouds,Sebagian Berawan,8.0,0.0,30
2026-05-03T13:00,Node_Warkop_Kusuma,30.8,37.2,64,Drizzle,Gerimis Ringan,6.3,0.1,29
2026-05-03T14:00,Node_Warkop_Kusuma,31.1,37.2,64,Clouds,Berawan,5.7,0.0,70
2026-05-03T15:00,Node_Warkop_Kusuma,29.9,35.2,69,Clouds,Mendung,4.6,0.0,100
2026-05-03T16:00,Node_Warkop_Kusuma,26.6,32.0,82,Rain,Hujan Sedang,2.2,3.5,100
2026-05-03T17:00,Node_Warkop_Kusuma,25.9,30.5,85,Drizzle,Gerimis Ringan,6.2,0.4,100
2026-05-03T18:00,Node_Warkop_Kusuma,25.4,30.9,89,Drizzle,Gerimis Ringan,1.9,0.1,98
2026-05-03T19:00,Node_Warkop_Kusuma,24.8,29.4,94,Clouds,Mendung,8.4,0.0,99
2026-05-03T20:00,Node_Warkop_Kusuma,23.9,28.6,96,Clouds,Mendung,6.0,0.0,99
2026-05-03T21:00,Node_Warkop_Kusuma,23.3,27.7,99,Clouds,Mendung,7.4,0.0,100
2026-05-03T22:00,Node_Warkop_Kusuma,23.1,27.9,99,Clouds,Mendung,4.3,0.0,100
2026-05-03T23:00,Node_Warkop_Kusuma,23.0,28.3,98,Clouds,Mendung,0.2,0.0,96
