waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-13T00:00,Node_Warkop_Kusuma,22.9,26.4,96,Clouds,Berawan,10.1,0.0,77
2026-04-13T01:00,Node_Warkop_Kusuma,23.5,27.5,93,Clouds,Mendung,7.8,0.0,100
2026-04-13T02:00,Node_Warkop_Kusuma,23.6,27.7,92,Clouds,Mendung,7.3,0.0,95
2026-04-13T03:00,Node_Warkop_Kusuma,23.4,27.3,93,Clouds,Mendung,7.6,0.0,87
2026-04-13T04:00,Node_Warkop_Kusuma,23.1,26.9,93,Clouds,Mendung,8.0,0.0,97
2026-04-13T05:00,Node_Warkop_Kusuma,22.9,26.6,93,Clouds,Mendung,7.2,0.0,100
2026-04-13T06:00,Node_Warkop_Kusuma,22.8,26.3,93,Clouds,Mendung,8.0,0.0,99
2026-04-13T07:00,Node_Warkop_Kusuma,24.9,29.2,89,Clouds,Mendung,7.7,0.0,99
2026-04-13T08:00,Node_Warkop_Kusuma,26.7,31.3,82,Clouds,Mendung,7.3,0.0,90
2026-04-13T09:00,Node_Warkop_Kusuma,28.5,33.4,73,Clouds,Mendung,4.2,0.0,95
2026-04-13T10:00,Node_Warkop_Kusuma,29.7,35.8,67,Clouds,Sebagian Berawan,4.4,0.0,24
2026-04-13T11:00,Node_Warkop_Kusuma,30.2,35.9,64,Clear,Cerah,9.4,0.0,12
2026-04-13T12:00,Node_Warkop_Kusuma,30.8,36.3,61,Clear,Cerah,10.3,0.0,17
2026-04-13T13:00,Node_Warkop_Kusuma,30.7,35.7,63,Clouds,Sebagian Berawan,14.3,0.0,27
2026-04-13T14:00,Node_Warkop_Kusuma,31.2,35.7,60,Drizzle,Gerimis Ringan,13.0,0.1,10
2026-04-13T15:00,Node_Warkop_Kusuma,31.0,34.6,60,Clouds,Sebagian Berawan,12.9,0.0,23
2026-04-13T16:00,Node_Warkop_Kusuma,30.2,33.4,63,Clouds,Sebagian Berawan,13.4,0.0,24
2026-04-13T17:00,Node_Warkop_Kusuma,29.0,33.4,71,Clouds,Sebagian Berawan,8.5,0.0,22
2026-04-13T18:00,Node_Warkop_Kusuma,27.5,32.5,78,Clouds,Sebagian Berawan,5.4,0.0,25
2026-04-13T19:00,Node_Warkop_Kusuma,26.5,32.2,86,Clouds,Sebagian Berawan,3.2,0.0,27
2026-04-13T20:00,Node_Warkop_Kusuma,26.1,32.0,90,Clear,Cerah,2.7,0.0,17
2026-04-13T21:00,Node_Warkop_Kusuma,25.6,31.6,92,Clear,Cerah,1.3,0.0,8
2026-04-13T22:00,Node_Warkop_Kusuma,25.1,30.7,92,Clouds,Berawan,3.1,0.0,66
2026-04-13T23:00,Node_Warkop_Kusuma,24.8,30.3,94,Clouds,Sebagian Berawan,3.1,0.0,31
