waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-10T00:00,Node_Warkop_Kusuma,24.0,28.9,97,Drizzle,Gerimis Ringan,7.0,0.3,100
2026-04-10T01:00,Node_Warkop_Kusuma,24.1,28.5,95,Drizzle,Gerimis Ringan,8.6,0.2,100
2026-04-10T02:00,Node_Warkop_Kusuma,24.0,28.8,96,Drizzle,Gerimis Ringan,5.6,0.1,100
2026-04-10T03:00,Node_Warkop_Kusuma,24.0,28.6,95,Clouds,Mendung,6.0,0.0,100
2026-04-10T04:00,Node_Warkop_Kusuma,24.0,28.7,96,Clouds,Mendung,5.8,0.0,99
2026-04-10T05:00,Node_Warkop_Kusuma,23.7,28.5,96,Clouds,Mendung,5.3,0.0,97
2026-04-10T06:00,Node_Warkop_Kusuma,24.0,28.6,95,Clouds,Berawan,6.6,0.0,59
2026-04-10T07:00,Node_Warkop_Kusuma,24.4,30.0,96,Clouds,Mendung,1.5,0.0,89
2026-04-10T08:00,Node_Warkop_Kusuma,26.1,31.9,87,Clouds,Sebagian Berawan,1.4,0.0,31
2026-04-10T09:00,Node_Warkop_Kusuma,27.9,33.9,79,Clear,Cerah,0.6,0.0,13
2026-04-10T10:00,Node_Warkop_Kusuma,29.5,36.7,72,Drizzle,Gerimis Ringan,1.7,0.1,23
2026-04-10T11:00,Node_Warkop_Kusuma,30.1,37.8,70,Drizzle,Gerimis Ringan,3.0,0.2,64
2026-04-10T12:00,Node_Warkop_Kusuma,29.6,37.3,73,Rain,Hujan Sedang,5.5,3.4,98
2026-04-10T13:00,Node_Warkop_Kusuma,28.0,32.4,76,Rain,Hujan Lebat,13.6,20.8,95
2026-04-10T14:00,Node_Warkop_Kusuma,26.6,31.4,84,Drizzle,Gerimis Lebat,8.5,1.2,100
2026-04-10T15:00,Node_Warkop_Kusuma,26.8,31.0,79,Rain,Hujan Sedang,7.6,2.6,100
2026-04-10T16:00,Node_Warkop_Kusuma,25.8,30.5,88,Drizzle,Gerimis Ringan,8.3,0.4,100
2026-04-10T17:00,Node_Warkop_Kusuma,25.2,30.7,96,Drizzle,Gerimis Sedang,5.8,0.5,100
2026-04-10T18:00,Node_Warkop_Kusuma,24.8,30.2,97,Drizzle,Gerimis Ringan,5.9,0.2,100
2026-04-10T19:00,Node_Warkop_Kusuma,24.9,30.9,97,Drizzle,Gerimis Ringan,2.1,0.1,100
2026-04-10T20:00,Node_Warkop_Kusuma,24.7,30.6,99,Clouds,Mendung,3.9,0.0,100
2026-04-10T21:00,Node_Warkop_Kusuma,24.2,29.7,100,Clouds,Mendung,4.8,0.0,100
2026-04-10T22:00,Node_Warkop_Kusuma,24.1,29.6,99,Clouds,Mendung,3.7,0.0,100
2026-04-10T23:00,Node_Warkop_Kusuma,23.8,29.2,99,Clouds,Mendung,2.7,0.0,100
