waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-05-04T00:00,Node_Warkop_Kusuma,23.6,28.9,99,Clouds,Mendung,3.2,0.0,100
2026-05-04T01:00,Node_Warkop_Kusuma,24.2,29.4,96,Clouds,Mendung,4.4,0.0,99
2026-05-04T02:00,Node_Warkop_Kusuma,24.4,29.4,95,Clouds,Mendung,5.2,0.0,90
2026-05-04T03:00,Node_Warkop_Kusuma,24.2,29.2,95,Clear,Cerah,5.4,0.0,5
2026-05-04T04:00,Node_Warkop_Kusuma,24.1,29.0,95,Clouds,Berawan,5.2,0.0,63
2026-05-04T05:00,Node_Warkop_Kusuma,24.0,28.6,95,Clouds,Mendung,6.3,0.0,93
2026-05-04T06:00,Node_Warkop_Kusuma,23.9,28.3,94,Clouds,Mendung,6.7,0.0,82
2026-05-04T07:00,Node_Warkop_Kusuma,25.5,30.3,87,Clouds,Mendung,5.7,0.0,99
2026-05-04T08:00,Node_Warkop_Kusuma,27.2,32.3,80,Clouds,Mendung,4.9,0.0,96
2026-05-04T09:00,Node_Warkop_Kusuma,28.9,33.7,72,Clouds,Mendung,5.8,0.0,94
2026-05-04T10:00,Node_Warkop_Kusuma,30.0,35.6,66,Clouds,Mendung,5.6,0.0,99
2026-05-04T11:00,Node_Warkop_Kusuma,30.9,37.9,64,Drizzle,Gerimis Ringan,3.0,0.2,99
2026-05-04T12:00,Node_Warkop_Kusuma,30.8,37.0,65,Clouds,Mendung,4.4,0.0,98
2026-05-04T13:00,Node_Warkop_Kusuma,31.5,37.3,58,Clouds,Mendung,5.2,0.0,98
2026-05-04T14:00,Node_Warkop_Kusuma,31.5,37.2,61,Drizzle,Gerimis Ringan,5.1,0.1,95
2026-05-04T15:00,Node_Warkop_Kusuma,29.4,34.1,71,Drizzle,Gerimis Sedang,8.0,0.9,100
2026-05-04T16:00,Node_Warkop_Kusuma,27.1,31.4,80,Drizzle,Gerimis Sedang,10.1,0.6,100
2026-05-04T17:00,Node_Warkop_Kusuma,26.1,30.8,85,Drizzle,Gerimis Ringan,7.3,0.2,100
2026-05-04T18:00,Node_Warkop_Kusuma,25.4,30.5,90,Clouds,Mendung,4.5,0.0,100
2026-05-04T19:00,Node_Warkop_Kusuma,25.5,31.4,91,Clouds,Mendung,1.5,0.0,100
2026-05-04T20:00,Node_Warkop_Kusuma,25.1,30.6,94,Clouds,Mendung,4.9,0.0,100
2026-05-04T21:00,Node_Warkop_Kusuma,24.9,30.4,95,Clouds,Mendung,3.5,0.0,100
2026-05-04T22:00,Node_Warkop_Kusuma,24.4,29.7,97,Clouds,Mendung,4.9,0.0,95
2026-05-04T23:00,Node_Warkop_Kusuma,23.9,29.2,97,Clouds,Sebagian Berawan,3.1,0.0,47
