waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-25T00:00,Node_Warkop_Kusuma,23.6,28.5,99,Clouds,Berawan,6.1,0.0,70
2026-04-25T01:00,Node_Warkop_Kusuma,24.1,29.2,98,Clouds,Mendung,5.9,0.0,96
2026-04-25T02:00,Node_Warkop_Kusuma,24.4,29.9,97,Clouds,Mendung,4.1,0.0,94
2026-04-25T03:00,Node_Warkop_Kusuma,23.9,29.2,99,Clouds,Mendung,4.5,0.0,91
2026-04-25T04:00,Node_Warkop_Kusuma,23.6,28.8,99,Drizzle,Gerimis Ringan,4.2,0.4,100
2026-04-25T05:00,Node_Warkop_Kusuma,23.6,28.3,97,Drizzle,Gerimis Ringan,6.9,0.1,100
2026-04-25T06:00,Node_Warkop_Kusuma,23.7,28.6,98,Clouds,Mendung,5.6,0.0,95
2026-04-25T07:00,Node_Warkop_Kusuma,25.5,31.2,96,Clear,Cerah,6.1,0.0,19
2026-04-25T08:00,Node_Warkop_Kusuma,27.2,33.3,88,Clear,Cerah,4.4,0.0,15
2026-04-25T09:00,Node_Warkop_Kusuma,28.9,35.0,76,Clouds,Sebagian Berawan,1.7,0.0,35
2026-04-25T10:00,Node_Warkop_Kusuma,30.4,37.1,67,Clouds,Mendung,1.7,0.0,91
2026-04-25T11:00,Node_Warkop_Kusuma,30.8,37.0,65,Clouds,Mendung,5.3,0.0,99
2026-04-25T12:00,Node_Warkop_Kusuma,30.9,37.4,66,Drizzle,Gerimis Ringan,7.5,0.1,99
2026-04-25T13:00,Node_Warkop_Kusuma,31.6,38.0,64,Clouds,Mendung,8.3,0.0,96
2026-04-25T14:00,Node_Warkop_Kusuma,32.5,37.5,55,Clouds,Berawan,9.4,0.0,73
2026-04-25T15:00,Node_Warkop_Kusuma,31.7,35.6,59,Clouds,Mendung,10.3,0.0,98
2026-04-25T16:00,Node_Warkop_Kusuma,29.6,34.6,71,Drizzle,Gerimis Sedang,7.2,0.5,98
2026-04-25T17:00,Node_Warkop_Kusuma,28.3,33.7,76,Drizzle,Gerimis Ringan,3.4,0.4,98
2026-04-25T18:00,Node_Warkop_Kusuma,26.5,32.6,89,Drizzle,Gerimis Sedang,2.8,0.6,97
2026-04-25T19:00,Node_Warkop_Kusuma,27.1,32.3,83,Clouds,Berawan,6.5,0.0,68
2026-04-25T20:00,Node_Warkop_Kusuma,26.5,31.2,84,Clouds,Mendung,8.1,0.0,100
2026-04-25T21:00,Node_Warkop_Kusuma,25.9,31.0,87,Clouds,Mendung,4.7,0.0,95
2026-04-25T22:00,Node_Warkop_Kusuma,25.3,30.8,91,Clouds,Mendung,2.9,0.0,98
2026-04-25T23:00,Node_Warkop_Kusuma,25.2,30.7,90,Clouds,Mendung,1.9,0.0,100
