waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-20T00:00,Node_Warkop_Kusuma,24.1,27.3,83,Clear,Cerah,8.0,0.0,5
2026-04-20T01:00,Node_Warkop_Kusuma,24.2,27.2,83,Clear,Cerah,9.9,0.0,3
2026-04-20T02:00,Node_Warkop_Kusuma,23.9,27.0,84,Clear,Cerah,8.5,0.0,5
2026-04-20T03:00,Node_Warkop_Kusuma,23.5,26.6,85,Clear,Cerah,7.2,0.0,7
2026-04-20T04:00,Node_Warkop_Kusuma,23.1,26.0,85,Clouds,Sebagian Berawan,8.0,0.0,33
2026-04-20T05:00,Node_Warkop_Kusuma,22.6,25.4,86,Clouds,Mendung,8.0,0.0,80
2026-04-20T06:00,Node_Warkop_Kusuma,22.6,25.3,87,Clouds,Sebagian Berawan,8.5,0.0,40
2026-04-20T07:00,Node_Warkop_Kusuma,24.7,28.3,81,Clouds,Mendung,6.8,0.0,92
2026-04-20T08:00,Node_Warkop_Kusuma,26.7,30.5,74,Clouds,Mendung,6.0,0.0,87
2026-04-20T09:00,Node_Warkop_Kusuma,28.5,32.4,64,Clouds,Berawan,5.3,0.0,73
2026-04-20T10:00,Node_Warkop_Kusuma,30.0,35.0,56,Clouds,Mendung,3.3,0.0,88
2026-04-20T11:00,Node_Warkop_Kusuma,31.0,36.8,52,Clouds,Sebagian Berawan,2.2,0.0,38
2026-04-20T12:00,Node_Warkop_Kusuma,31.6,37.9,50,Clouds,Sebagian Berawan,1.7,0.0,27
2026-04-20T13:00,Node_Warkop_Kusuma,32.2,37.6,47,Clouds,Berawan,3.4,0.0,66
2026-04-20T14:00,Node_Warkop_Kusuma,32.3,37.4,49,Clouds,Mendung,3.1,0.0,98
2026-04-20T15:00,Node_Warkop_Kusuma,31.6,35.4,55,Clouds,Mendung,7.1,0.0,85
2026-04-20T16:00,Node_Warkop_Kusuma,30.7,34.7,62,Clouds,Berawan,8.4,0.0,66
2026-04-20T17:00,Node_Warkop_Kusuma,29.0,33.7,73,Clear,Cerah,7.3,0.0,16
2026-04-20T18:00,Node_Warkop_Kusuma,27.0,31.5,80,Clouds,Berawan,7.4,0.0,62
2026-04-20T19:00,Node_Warkop_Kusuma,26.6,31.5,84,Clouds,Sebagian Berawan,7.4,0.0,48
2026-04-20T20:00,Node_Warkop_Kusuma,26.2,30.9,85,Clear,Cerah,8.1,0.0,15
2026-04-20T21:00,Node_Warkop_Kusuma,25.6,30.4,88,Clouds,Mendung,7.6,0.0,91
2026-04-20T22:00,Node_Warkop_Kusuma,25.1,29.9,91,Clouds,Berawan,7.8,0.0,71
2026-04-20T23:00,Node_Warkop_Kusuma,24.7,29.7,94,Clouds,Berawan,6.2,0.0,75
