waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-05-17T00:00,Node_Warkop_Kusuma,25.0,28.9,89,Clouds,Berawan,11.1,0.0,74
2026-05-17T01:00,Node_Warkop_Kusuma,25.1,28.7,88,Clouds,Berawan,12.3,0.0,77
2026-05-17T02:00,Node_Warkop_Kusuma,24.6,28.6,90,Clouds,Mendung,10.6,0.0,85
2026-05-17T03:00,Node_Warkop_Kusuma,24.5,28.5,92,Clouds,Berawan,9.9,0.0,60
2026-05-17T04:00,Node_Warkop_Kusuma,24.2,28.3,93,Clouds,Sebagian Berawan,9.4,0.0,22
2026-05-17T05:00,Node_Warkop_Kusuma,24.0,28.0,93,Clear,Cerah,9.2,0.0,16
2026-05-17T06:00,Node_Warkop_Kusuma,24.0,28.0,93,Clouds,Mendung,9.7,0.0,80
2026-05-17T07:00,Node_Warkop_Kusuma,25.6,29.9,88,Clouds,Mendung,9.8,0.0,91
2026-05-17T08:00,Node_Warkop_Kusuma,27.2,31.4,81,Clouds,Mendung,11.0,0.0,80
2026-05-17T09:00,Node_Warkop_Kusuma,28.8,32.5,72,Clouds,Sebagian Berawan,12.6,0.0,42
2026-05-17T10:00,Node_Warkop_Kusuma,29.7,33.5,66,Clouds,Berawan,14.1,0.0,70
2026-05-17T11:00,Node_Warkop_Kusuma,30.1,34.3,64,Drizzle,Gerimis,14.2,0.1,37
2026-05-17T12:00,Node_Warkop_Kusuma,30.6,35.1,62,Drizzle,Gerimis,14.6,0.1,87
2026-05-17T13:00,Node_Warkop_Kusuma,30.6,34.6,62,Drizzle,Gerimis,14.3,0.1,16
2026-05-17T14:00,Node_Warkop_Kusuma,30.5,34.1,62,Clear,Cerah,13.9,0.0,16
2026-05-17T15:00,Node_Warkop_Kusuma,29.8,33.0,65,Drizzle,Gerimis,13.5,0.1,19
2026-05-17T16:00,Node_Warkop_Kusuma,28.6,32.1,71,Drizzle,Gerimis,13.4,0.1,16
2026-05-17T17:00,Node_Warkop_Kusuma,27.3,31.0,78,Clear,Cerah,12.4,0.0,13
2026-05-17T18:00,Node_Warkop_Kusuma,26.4,30.2,81,Clear,Cerah,11.1,0.0,9
2026-05-17T19:00,Node_Warkop_Kusuma,25.7,29.5,85,Clear,Cerah,11.2,0.0,13
2026-05-17T20:00,Node_Warkop_Kusuma,25.2,29.0,87,Clouds,Berawan,11.0,0.0,54
2026-05-17T21:00,Node_Warkop_Kusuma,24.9,28.7,89,Clouds,Mendung,11.1,0.0,87
2026-05-17T22:00,Node_Warkop_Kusuma,24.8,28.8,89,Clouds,Mendung,9.5,0.0,99
2026-05-17T23:00,Node_Warkop_Kusuma,24.4,28.5,91,Clouds,Mendung,8.9,0.0,100
2026-05-18T00:00,Node_Warkop_Kusuma,24.1,28.3,92,Clouds,Mendung,8.6,0.0,100
2026-05-18T01:00,Node_Warkop_Kusuma,23.8,28.0,94,Clouds,Mendung,7.9,0.0,100
2026-05-18T02:00,Node_Warkop_Kusuma,23.5,27.4,95,Clouds,Mendung,9.7,0.0,100
2026-05-18T03:00,Node_Warkop_Kusuma,23.5,27.4,94,Clouds,Mendung,9.2,0.0,97
2026-05-18T04:00,Node_Warkop_Kusuma,23.4,27.3,94,Clouds,Mendung,8.3,0.0,98
2026-05-18T05:00,Node_Warkop_Kusuma,23.1,27.1,95,Clouds,Mendung,7.5,0.0,98
2026-05-18T06:00,Node_Warkop_Kusuma,23.1,27.0,95,Clouds,Mendung,8.1,0.0,91
2026-05-18T07:00,Node_Warkop_Kusuma,24.5,28.4,90,Clear,Cerah,10.2,0.0,15
2026-05-18T08:00,Node_Warkop_Kusuma,26.2,30.4,84,Clear,Cerah,9.8,0.0,2
2026-05-18T09:00,Node_Warkop_Kusuma,27.9,31.8,75,Clear,Cerah,11.2,0.0,5
2026-05-18T10:00,Node_Warkop_Kusuma,29.2,33.7,68,Clouds,Berawan,11.2,0.0,61
2026-05-18T11:00,Node_Warkop_Kusuma,30.2,35.1,63,Clouds,Mendung,10.3,0.0,100
2026-05-18T12:00,Node_Warkop_Kusuma,30.7,35.7,61,Drizzle,Gerimis,10.6,0.1,23
2026-05-18T13:00,Node_Warkop_Kusuma,30.9,35.8,60,Drizzle,Gerimis,9.9,0.2,40
2026-05-18T14:00,Node_Warkop_Kusuma,30.4,34.6,62,Drizzle,Gerimis,10.0,0.4,66
2026-05-18T15:00,Node_Warkop_Kusuma,29.3,33.1,70,Drizzle,Gerimis,12.4,0.4,66
2026-05-18T16:00,Node_Warkop_Kusuma,28.2,32.1,74,Clear,Cerah,11.1,0.0,16
2026-05-18T17:00,Node_Warkop_Kusuma,27.3,31.8,79,Drizzle,Gerimis,8.6,0.1,39
2026-05-18T18:00,Node_Warkop_Kusuma,26.5,30.9,83,Drizzle,Gerimis,8.2,0.1,51
2026-05-18T19:00,Node_Warkop_Kusuma,25.8,30.6,86,Clouds,Sebagian Berawan,5.4,0.0,30
2026-05-18T20:00,Node_Warkop_Kusuma,25.2,30.7,90,Clouds,Sebagian Berawan,2.4,0.0,20
2026-05-18T21:00,Node_Warkop_Kusuma,24.6,30.1,94,Clear,Cerah,2.3,0.0,19
2026-05-18T22:00,Node_Warkop_Kusuma,24.2,29.9,97,Clouds,Sebagian Berawan,2.1,0.0,27
2026-05-18T23:00,Node_Warkop_Kusuma,24.1,29.8,98,Clear,Cerah,2.0,0.0,14
2026-05-19T00:00,Node_Warkop_Kusuma,24.0,29.9,99,Clear,Cerah,1.2,0.0,9
2026-05-19T01:00,Node_Warkop_Kusuma,23.6,29.4,100,Clouds,Sebagian Berawan,0.5,0.0,25
2026-05-19T02:00,Node_Warkop_Kusuma,23.5,29.2,100,Clouds,Mendung,0.5,0.0,97
2026-05-19T03:00,Node_Warkop_Kusuma,23.3,28.5,100,Clouds,Mendung,2.7,0.0,100
2026-05-19T04:00,Node_Warkop_Kusuma,23.1,28.2,100,Clouds,Mendung,2.8,0.0,100
2026-05-19T05:00,Node_Warkop_Kusuma,23.0,28.1,99,Clouds,Mendung,2.3,0.0,99
2026-05-19T06:00,Node_Warkop_Kusuma,22.9,27.8,99,Clouds,Mendung,3.6,0.0,100
2026-05-19T07:00,Node_Warkop_Kusuma,24.2,29.5,94,Clouds,Sebagian Berawan,2.8,0.0,45
2026-05-19T08:00,Node_Warkop_Kusuma,26.1,31.2,85,Clouds,Sebagian Berawan,4.0,0.0,25
2026-05-19T09:00,Node_Warkop_Kusuma,27.8,32.7,77,Clouds,Sebagian Berawan,5.2,0.0,24
2026-05-19T10:00,Node_Warkop_Kusuma,28.9,34.3,73,Clear,Cerah,6.8,0.0,19
2026-05-19T11:00,Node_Warkop_Kusuma,29.7,35.4,69,Drizzle,Gerimis,7.3,0.1,16
2026-05-19T12:00,Node_Warkop_Kusuma,30.6,36.7,64,Drizzle,Gerimis,8.1,0.1,15
2026-05-19T13:00,Node_Warkop_Kusuma,30.9,36.4,63,Drizzle,Gerimis,9.4,0.1,32
2026-05-19T14:00,Node_Warkop_Kusuma,30.8,36.0,65,Drizzle,Gerimis,8.4,0.3,35
2026-05-19T15:00,Node_Warkop_Kusuma,30.6,35.5,66,Drizzle,Gerimis,5.9,0.2,23
2026-05-19T16:00,Node_Warkop_Kusuma,30.0,35.4,69,Drizzle,Gerimis,3.7,0.1,58
2026-05-19T17:00,Node_Warkop_Kusuma,26.5,31.7,87,Rain,Hujan Lokal,7.2,1.4,98
2026-05-19T18:00,Node_Warkop_Kusuma,26.1,32.3,93,Unknown,Tidak Diketahui,4.1,1.2,100
2026-05-19T19:00,Node_Warkop_Kusuma,25.6,31.8,97,Drizzle,Gerimis,4.9,0.4,88
2026-05-19T20:00,Node_Warkop_Kusuma,25.0,30.4,96,Unknown,Tidak Diketahui,6.7,0.8,90
2026-05-19T21:00,Node_Warkop_Kusuma,24.5,28.9,95,Drizzle,Gerimis,9.4,0.1,91
2026-05-19T22:00,Node_Warkop_Kusuma,24.0,28.6,98,Drizzle,Gerimis,9.0,0.2,91
2026-05-19T23:00,Node_Warkop_Kusuma,24.0,28.9,98,Clouds,Mendung,6.2,0.0,96
2026-05-20T00:00,Node_Warkop_Kusuma,23.6,27.9,99,Drizzle,Gerimis,9.7,0.2,100
