waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-05-06T00:00,Node_Warkop_Kusuma,24.8,29.6,92,Clouds,Sebagian Berawan,5.9,0.0,37
2026-05-06T01:00,Node_Warkop_Kusuma,24.0,28.9,94,Clouds,Berawan,4.3,0.0,77
2026-05-06T02:00,Node_Warkop_Kusuma,23.8,28.5,96,Clouds,Mendung,4.9,0.0,97
2026-05-06T03:00,Node_Warkop_Kusuma,23.4,27.9,97,Clouds,Mendung,6.5,0.0,100
2026-05-06T04:00,Node_Warkop_Kusuma,23.0,27.4,98,Clouds,Berawan,6.8,0.0,68
2026-05-06T05:00,Node_Warkop_Kusuma,22.8,27.1,99,Clouds,Sebagian Berawan,7.2,0.0,43
2026-05-06T06:00,Node_Warkop_Kusuma,22.9,27.2,99,Clear,Cerah,6.7,0.0,3
2026-05-06T07:00,Node_Warkop_Kusuma,25.4,30.4,91,Clouds,Berawan,6.7,0.0,75
2026-05-06T08:00,Node_Warkop_Kusuma,27.4,32.3,81,Clouds,Berawan,7.2,0.0,70
2026-05-06T09:00,Node_Warkop_Kusuma,29.0,33.9,71,Clouds,Berawan,6.1,0.0,63
2026-05-06T10:00,Node_Warkop_Kusuma,30.1,35.7,65,Clouds,Sebagian Berawan,4.5,0.0,36
2026-05-06T11:00,Node_Warkop_Kusuma,30.9,36.9,60,Clear,Cerah,4.2,0.0,17
2026-05-06T12:00,Node_Warkop_Kusuma,31.6,37.6,57,Clouds,Mendung,4.5,0.0,93
2026-05-06T13:00,Node_Warkop_Kusuma,32.3,38.1,53,Clouds,Mendung,3.5,0.0,90
2026-05-06T14:00,Node_Warkop_Kusuma,32.0,36.8,56,Clouds,Mendung,9.7,0.0,90
2026-05-06T15:00,Node_Warkop_Kusuma,30.4,34.0,64,Clouds,Mendung,12.3,0.0,88
2026-05-06T16:00,Node_Warkop_Kusuma,29.9,33.7,64,Clouds,Mendung,8.8,0.0,93
2026-05-06T17:00,Node_Warkop_Kusuma,28.5,33.4,74,Clouds,Mendung,6.0,0.0,96
2026-05-06T18:00,Node_Warkop_Kusuma,26.6,30.9,83,Clouds,Mendung,9.8,0.0,91
2026-05-06T19:00,Node_Warkop_Kusuma,26.7,31.1,84,Clear,Cerah,10.6,0.0,16
2026-05-06T20:00,Node_Warkop_Kusuma,26.4,30.7,85,Clear,Cerah,11.2,0.0,17
2026-05-06T21:00,Node_Warkop_Kusuma,25.6,30.1,87,Clear,Cerah,7.8,0.0,16
2026-05-06T22:00,Node_Warkop_Kusuma,25.1,29.4,88,Clear,Cerah,8.3,0.0,16
2026-05-06T23:00,Node_Warkop_Kusuma,24.9,29.2,88,Clouds,Sebagian Berawan,7.9,0.0,20
