waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-22T00:00,Node_Warkop_Kusuma,24.4,30.0,97,Clouds,Mendung,2.4,0.0,98
2026-04-22T01:00,Node_Warkop_Kusuma,23.8,28.8,96,Clouds,Mendung,3.6,0.0,100
2026-04-22T02:00,Node_Warkop_Kusuma,24.2,29.9,98,Drizzle,Gerimis Ringan,2.7,0.4,100
2026-04-22T03:00,Node_Warkop_Kusuma,23.5,28.6,99,Rain,Hujan Ringan,3.9,1.7,100
2026-04-22T04:00,Node_Warkop_Kusuma,23.5,28.3,98,Drizzle,Gerimis Sedang,5.0,0.7,100
2026-04-22T05:00,Node_Warkop_Kusuma,23.2,27.7,98,Drizzle,Gerimis Ringan,6.0,0.1,100
2026-04-22T06:00,Node_Warkop_Kusuma,23.1,27.5,99,Drizzle,Gerimis Ringan,7.1,0.1,100
2026-04-22T07:00,Node_Warkop_Kusuma,24.8,29.0,92,Clouds,Mendung,9.7,0.0,100
2026-04-22T08:00,Node_Warkop_Kusuma,25.9,29.9,87,Clouds,Mendung,12.4,0.0,100
2026-04-22T09:00,Node_Warkop_Kusuma,27.0,31.0,82,Clouds,Mendung,12.6,0.0,100
2026-04-22T10:00,Node_Warkop_Kusuma,28.0,32.4,80,Drizzle,Gerimis Ringan,12.5,0.1,100
2026-04-22T11:00,Node_Warkop_Kusuma,25.9,29.2,85,Rain,Hujan Sedang,15.7,5.2,100
2026-04-22T12:00,Node_Warkop_Kusuma,25.8,29.9,89,Drizzle,Gerimis Sedang,12.6,0.9,100
2026-04-22T13:00,Node_Warkop_Kusuma,25.9,29.5,87,Drizzle,Gerimis Sedang,14.8,0.7,100
2026-04-22T14:00,Node_Warkop_Kusuma,24.5,28.5,95,Drizzle,Gerimis Lebat,13.2,1.2,100
2026-04-22T15:00,Node_Warkop_Kusuma,24.5,28.7,96,Drizzle,Gerimis Lebat,12.2,1.0,100
2026-04-22T16:00,Node_Warkop_Kusuma,24.4,29.0,98,Drizzle,Gerimis Sedang,9.4,0.8,100
2026-04-22T17:00,Node_Warkop_Kusuma,24.5,29.2,95,Drizzle,Gerimis Ringan,7.6,0.2,100
2026-04-22T18:00,Node_Warkop_Kusuma,24.2,28.9,95,Clouds,Mendung,6.5,0.0,100
2026-04-22T19:00,Node_Warkop_Kusuma,24.8,30.6,96,Clouds,Mendung,3.1,0.0,100
2026-04-22T20:00,Node_Warkop_Kusuma,24.4,30.2,99,Clouds,Mendung,2.2,0.0,100
2026-04-22T21:00,Node_Warkop_Kusuma,24.1,29.8,99,Clouds,Mendung,2.7,0.0,100
2026-04-22T22:00,Node_Warkop_Kusuma,24.0,29.8,99,Clouds,Mendung,2.0,0.0,100
2026-04-22T23:00,Node_Warkop_Kusuma,23.9,29.7,98,Clouds,Mendung,0.5,0.0,100
