waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-16T00:00,Node_Warkop_Kusuma,24.2,29.2,94,Clear,Cerah,4.5,0.0,15
2026-04-16T01:00,Node_Warkop_Kusuma,24.2,29.0,93,Clouds,Sebagian Berawan,5.4,0.0,20
2026-04-16T02:00,Node_Warkop_Kusuma,24.1,28.7,93,Clear,Cerah,6.0,0.0,8
2026-04-16T03:00,Node_Warkop_Kusuma,23.8,28.5,94,Clear,Cerah,4.2,0.0,18
2026-04-16T04:00,Node_Warkop_Kusuma,23.5,28.1,96,Clouds,Sebagian Berawan,5.2,0.0,20
2026-04-16T05:00,Node_Warkop_Kusuma,23.2,28.0,97,Clear,Cerah,4.0,0.0,16
2026-04-16T06:00,Node_Warkop_Kusuma,23.2,27.9,98,Clouds,Sebagian Berawan,4.9,0.0,23
2026-04-16T07:00,Node_Warkop_Kusuma,25.4,30.8,89,Clear,Cerah,1.9,0.0,7
2026-04-16T08:00,Node_Warkop_Kusuma,27.1,32.8,81,Clear,Cerah,2.1,0.0,5
2026-04-16T09:00,Node_Warkop_Kusuma,28.8,34.1,71,Clear,Cerah,2.5,0.0,11
2026-04-16T10:00,Node_Warkop_Kusuma,29.7,35.6,66,Clear,Cerah,4.7,0.0,9
2026-04-16T11:00,Node_Warkop_Kusuma,30.4,36.2,62,Clear,Cerah,6.0,0.0,8
2026-04-16T12:00,Node_Warkop_Kusuma,30.8,36.8,60,Clear,Cerah,6.6,0.0,16
2026-04-16T13:00,Node_Warkop_Kusuma,30.7,36.2,60,Clouds,Sebagian Berawan,8.9,0.0,20
2026-04-16T14:00,Node_Warkop_Kusuma,30.8,35.6,62,Clear,Cerah,9.1,0.0,17
2026-04-16T15:00,Node_Warkop_Kusuma,30.1,34.0,63,Clouds,Sebagian Berawan,8.5,0.0,35
2026-04-16T16:00,Node_Warkop_Kusuma,29.6,33.7,66,Clouds,Sebagian Berawan,7.8,0.0,46
2026-04-16T17:00,Node_Warkop_Kusuma,28.7,33.8,74,Clouds,Sebagian Berawan,5.0,0.0,40
2026-04-16T18:00,Node_Warkop_Kusuma,27.1,33.1,85,Clouds,Sebagian Berawan,2.4,0.0,29
2026-04-16T19:00,Node_Warkop_Kusuma,26.5,32.0,86,Clouds,Sebagian Berawan,4.7,0.0,35
2026-04-16T20:00,Node_Warkop_Kusuma,26.5,31.2,86,Clouds,Sebagian Berawan,9.1,0.0,25
2026-04-16T21:00,Node_Warkop_Kusuma,25.9,31.2,88,Clouds,Mendung,4.3,0.0,84
2026-04-16T22:00,Node_Warkop_Kusuma,25.2,29.6,88,Clouds,Mendung,8.3,0.0,80
2026-04-16T23:00,Node_Warkop_Kusuma,24.7,29.6,89,Clouds,Mendung,3.6,0.0,85
