waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-14T00:00,Node_Warkop_Kusuma,24.5,30.0,94,Clouds,Berawan,2.3,0.0,63
2026-04-14T01:00,Node_Warkop_Kusuma,24.5,29.7,94,Clouds,Berawan,3.0,0.0,71
2026-04-14T02:00,Node_Warkop_Kusuma,24.4,29.5,93,Clouds,Mendung,3.4,0.0,85
2026-04-14T03:00,Node_Warkop_Kusuma,23.8,28.6,96,Clouds,Mendung,5.1,0.0,83
2026-04-14T04:00,Node_Warkop_Kusuma,23.4,28.4,98,Clouds,Sebagian Berawan,3.8,0.0,31
2026-04-14T05:00,Node_Warkop_Kusuma,23.1,28.0,100,Clouds,Berawan,4.1,0.0,54
2026-04-14T06:00,Node_Warkop_Kusuma,23.1,27.9,100,Clouds,Mendung,5.2,0.0,96
2026-04-14T07:00,Node_Warkop_Kusuma,25.2,30.6,91,Clear,Cerah,3.2,0.0,1
2026-04-14T08:00,Node_Warkop_Kusuma,27.5,33.6,83,Clear,Cerah,1.7,0.0,0
2026-04-14T09:00,Node_Warkop_Kusuma,29.0,35.0,72,Drizzle,Gerimis Ringan,1.2,0.1,16
2026-04-14T10:00,Node_Warkop_Kusuma,30.2,36.9,66,Clear,Cerah,2.4,0.0,13
2026-04-14T11:00,Node_Warkop_Kusuma,30.9,37.0,62,Clouds,Sebagian Berawan,6.7,0.0,24
2026-04-14T12:00,Node_Warkop_Kusuma,30.9,37.0,63,Clouds,Sebagian Berawan,8.7,0.0,42
2026-04-14T13:00,Node_Warkop_Kusuma,31.2,37.2,61,Drizzle,Gerimis Ringan,7.8,0.1,30
2026-04-14T14:00,Node_Warkop_Kusuma,31.1,36.7,60,Clouds,Sebagian Berawan,6.3,0.0,45
2026-04-14T15:00,Node_Warkop_Kusuma,31.2,35.9,59,Clouds,Sebagian Berawan,4.4,0.0,39
2026-04-14T16:00,Node_Warkop_Kusuma,29.8,34.2,64,Clouds,Mendung,4.2,0.0,100
2026-04-14T17:00,Node_Warkop_Kusuma,26.1,30.3,86,Rain,Hujan Sedang,11.9,2.8,90
2026-04-14T18:00,Node_Warkop_Kusuma,24.6,29.7,92,Drizzle,Gerimis Sedang,3.9,0.7,100
2026-04-14T19:00,Node_Warkop_Kusuma,26.0,30.9,88,Drizzle,Gerimis Ringan,7.3,0.4,68
2026-04-14T20:00,Node_Warkop_Kusuma,25.5,30.9,93,Drizzle,Gerimis Ringan,5.4,0.3,79
2026-04-14T21:00,Node_Warkop_Kusuma,24.6,30.2,97,Drizzle,Gerimis Ringan,4.2,0.1,80
2026-04-14T22:00,Node_Warkop_Kusuma,23.5,27.8,97,Rain,Hujan Ringan,8.6,1.6,88
2026-04-14T23:00,Node_Warkop_Kusuma,23.5,28.7,99,Rain,Hujan Ringan,2.2,1.5,100
