waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-04T00:00,Node_Warkop_Kusuma,23.8,29.3,99,Clouds,Mendung,2.4,0.0,100
2026-04-04T01:00,Node_Warkop_Kusuma,24.1,29.6,98,Clouds,Mendung,3.3,0.0,100
2026-04-04T02:00,Node_Warkop_Kusuma,24.1,29.4,96,Clouds,Mendung,3.5,0.0,100
2026-04-04T03:00,Node_Warkop_Kusuma,24.0,29.1,95,Clouds,Mendung,3.2,0.0,99
2026-04-04T04:00,Node_Warkop_Kusuma,23.6,28.8,96,Clouds,Mendung,1.6,0.0,94
2026-04-04T05:00,Node_Warkop_Kusuma,23.1,28.0,98,Clouds,Mendung,2.7,0.0,92
2026-04-04T06:00,Node_Warkop_Kusuma,23.2,28.1,96,Clouds,Mendung,2.8,0.0,84
2026-04-04T07:00,Node_Warkop_Kusuma,24.7,29.7,92,Clouds,Berawan,4.8,0.0,63
2026-04-04T08:00,Node_Warkop_Kusuma,26.6,32.0,84,Clouds,Berawan,3.2,0.0,52
2026-04-04T09:00,Node_Warkop_Kusuma,28.0,33.9,78,Clouds,Berawan,4.0,0.0,70
2026-04-04T10:00,Node_Warkop_Kusuma,29.4,36.2,72,Drizzle,Gerimis Ringan,4.6,0.1,96
2026-04-04T11:00,Node_Warkop_Kusuma,30.5,37.5,67,Drizzle,Gerimis Ringan,6.7,0.1,96
2026-04-04T12:00,Node_Warkop_Kusuma,28.7,34.8,73,Drizzle,Gerimis Sedang,10.0,0.5,99
2026-04-04T13:00,Node_Warkop_Kusuma,29.7,35.6,70,Drizzle,Gerimis Ringan,10.3,0.1,93
2026-04-04T14:00,Node_Warkop_Kusuma,28.1,34.4,77,Rain,Hujan Ringan,7.6,2.0,98
2026-04-04T15:00,Node_Warkop_Kusuma,28.0,33.0,76,Drizzle,Gerimis Ringan,5.5,0.3,92
2026-04-04T16:00,Node_Warkop_Kusuma,25.3,29.8,87,Rain,Hujan Sedang,6.9,4.1,100
2026-04-04T17:00,Node_Warkop_Kusuma,24.8,29.8,89,Drizzle,Gerimis Ringan,3.5,0.3,100
2026-04-04T18:00,Node_Warkop_Kusuma,24.4,29.5,92,Drizzle,Gerimis Ringan,2.3,0.1,99
2026-04-04T19:00,Node_Warkop_Kusuma,25.0,30.7,96,Clouds,Mendung,4.7,0.0,100
2026-04-04T20:00,Node_Warkop_Kusuma,24.6,30.7,98,Clouds,Mendung,1.1,0.0,100
2026-04-04T21:00,Node_Warkop_Kusuma,24.2,30.3,100,Clouds,Mendung,1.2,0.0,100
2026-04-04T22:00,Node_Warkop_Kusuma,24.0,30.0,100,Clouds,Mendung,0.5,0.0,100
2026-04-04T23:00,Node_Warkop_Kusuma,23.6,29.4,100,Clouds,Mendung,1.3,0.0,100
