waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-05-13T00:00,Node_Warkop_Kusuma,24.6,28.2,87,Clear,Cerah,11.0,0.0,18
2026-05-13T01:00,Node_Warkop_Kusuma,24.5,28.1,89,Clear,Cerah,10.7,0.0,16
2026-05-13T02:00,Node_Warkop_Kusuma,24.2,28.0,91,Clear,Cerah,10.1,0.0,3
2026-05-13T03:00,Node_Warkop_Kusuma,24.0,27.8,92,Clear,Cerah,9.5,0.0,3
2026-05-13T04:00,Node_Warkop_Kusuma,23.8,27.7,92,Clouds,Sebagian Berawan,8.9,0.0,23
2026-05-13T05:00,Node_Warkop_Kusuma,23.7,27.6,93,Clouds,Berawan,8.7,0.0,66
2026-05-13T06:00,Node_Warkop_Kusuma,23.6,27.5,93,Clouds,Mendung,9.2,0.0,93
2026-05-13T07:00,Node_Warkop_Kusuma,25.8,29.9,85,Clouds,Mendung,9.8,0.0,91
2026-05-13T08:00,Node_Warkop_Kusuma,27.6,32.0,78,Clouds,Mendung,9.4,0.0,96
2026-05-13T09:00,Node_Warkop_Kusuma,29.2,33.5,71,Clouds,Mendung,9.8,0.0,98
2026-05-13T10:00,Node_Warkop_Kusuma,30.5,35.5,65,Clouds,Mendung,9.6,0.0,98
2026-05-13T11:00,Node_Warkop_Kusuma,31.2,37.2,63,Clouds,Mendung,9.1,0.0,96
2026-05-13T12:00,Node_Warkop_Kusuma,31.7,37.9,61,Clouds,Mendung,7.0,0.0,95
2026-05-13T13:00,Node_Warkop_Kusuma,32.2,37.5,59,Clouds,Mendung,9.2,0.0,86
2026-05-13T14:00,Node_Warkop_Kusuma,29.8,35.4,70,Drizzle,Gerimis Lebat,5.7,1.0,82
2026-05-13T15:00,Node_Warkop_Kusuma,29.3,34.2,72,Drizzle,Gerimis Sedang,7.2,0.5,40
2026-05-13T16:00,Node_Warkop_Kusuma,29.1,34.0,74,Clear,Cerah,8.9,0.0,11
2026-05-13T17:00,Node_Warkop_Kusuma,27.9,32.3,81,Clear,Cerah,12.4,0.0,14
2026-05-13T18:00,Node_Warkop_Kusuma,26.7,30.9,84,Clear,Cerah,12.3,0.0,16
2026-05-13T19:00,Node_Warkop_Kusuma,26.7,30.9,84,Clear,Cerah,12.3,0.0,13
2026-05-13T20:00,Node_Warkop_Kusuma,26.3,30.8,85,Clear,Cerah,9.7,0.0,3
2026-05-13T21:00,Node_Warkop_Kusuma,26.0,30.3,86,Clear,Cerah,9.8,0.0,6
2026-05-13T22:00,Node_Warkop_Kusuma,25.5,30.0,88,Clouds,Sebagian Berawan,8.6,0.0,31
2026-05-13T23:00,Node_Warkop_Kusuma,25.3,29.9,89,Clouds,Sebagian Berawan,8.0,0.0,22
