waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-17T00:00,Node_Warkop_Kusuma,24.2,29.1,93,Clouds,Mendung,4.0,0.0,91
2026-04-17T01:00,Node_Warkop_Kusuma,24.1,29.5,94,Clouds,Berawan,1.3,0.0,66
2026-04-17T02:00,Node_Warkop_Kusuma,24.1,29.0,95,Drizzle,Gerimis Ringan,5.4,0.1,34
2026-04-17T03:00,Node_Warkop_Kusuma,23.9,28.9,96,Clouds,Berawan,4.2,0.0,65
2026-04-17T04:00,Node_Warkop_Kusuma,23.5,28.3,97,Clouds,Berawan,4.9,0.0,70
2026-04-17T05:00,Node_Warkop_Kusuma,23.4,28.0,96,Clouds,Berawan,5.2,0.0,76
2026-04-17T06:00,Node_Warkop_Kusuma,23.5,28.1,97,Clouds,Berawan,5.3,0.0,73
2026-04-17T07:00,Node_Warkop_Kusuma,25.5,30.4,88,Clouds,Mendung,6.0,0.0,94
2026-04-17T08:00,Node_Warkop_Kusuma,27.5,32.6,80,Clouds,Sebagian Berawan,5.6,0.0,40
2026-04-17T09:00,Node_Warkop_Kusuma,28.8,34.1,72,Drizzle,Gerimis Ringan,3.6,0.2,22
2026-04-17T10:00,Node_Warkop_Kusuma,29.9,36.4,67,Drizzle,Gerimis Ringan,2.7,0.1,15
2026-04-17T11:00,Node_Warkop_Kusuma,30.8,38.2,63,Drizzle,Gerimis Ringan,1.8,0.1,86
2026-04-17T12:00,Node_Warkop_Kusuma,31.2,39.1,61,Drizzle,Gerimis Ringan,0.4,0.1,71
2026-04-17T13:00,Node_Warkop_Kusuma,31.7,37.8,56,Clouds,Berawan,4.5,0.0,73
2026-04-17T14:00,Node_Warkop_Kusuma,31.5,37.0,58,Clouds,Mendung,6.0,0.0,98
2026-04-17T15:00,Node_Warkop_Kusuma,31.5,36.0,59,Clouds,Mendung,6.3,0.0,93
2026-04-17T16:00,Node_Warkop_Kusuma,30.6,34.5,62,Drizzle,Gerimis Ringan,9.0,0.1,91
2026-04-17T17:00,Node_Warkop_Kusuma,28.3,33.6,76,Drizzle,Gerimis Ringan,4.4,0.1,91
2026-04-17T18:00,Node_Warkop_Kusuma,27.1,32.5,83,Clouds,Mendung,4.2,0.0,96
2026-04-17T19:00,Node_Warkop_Kusuma,27.0,31.9,85,Clouds,Mendung,8.5,0.0,80
2026-04-17T20:00,Node_Warkop_Kusuma,26.2,30.6,86,Drizzle,Gerimis Ringan,10.3,0.4,92
2026-04-17T21:00,Node_Warkop_Kusuma,25.3,30.0,92,Drizzle,Gerimis Sedang,9.3,0.8,98
2026-04-17T22:00,Node_Warkop_Kusuma,24.6,28.5,92,Drizzle,Gerimis Ringan,12.2,0.1,90
2026-04-17T23:00,Node_Warkop_Kusuma,24.0,27.5,92,Clouds,Berawan,11.7,0.0,74
